number,comment,name,stock,price,qty,cost,url
"2346895","1µ m2fc:C0603 C117 C608 C619 C630","TDK - C1608X7R1A105K080AC - CAP, MLCC, X7R, 1UF, 10V, 0603","1,950","0.0351","4","0.1404","http://onecall.farnell.com/_/_/_/dp/2346895"
"2332025","47k m2fc:R0603 R103 R104 R105 R106 R107","TE CONNECTIVITY - CRGH0603F47K - RESISTOR, POWER, 47K, 0.2W, 1%, 0603","4,830","0.008","5","0.04","http://onecall.farnell.com/_/_/_/dp/2332025"
"1833803","4µ7 m2fc:C0603 C314","AVX - 06036D475KAT2A - CAP, MLCC, X5R, 4.7UF, 6.3V, 0603","29,215","0.163","1","0.163","http://onecall.farnell.com/_/_/_/dp/1833803"
"2368169","CGA0402MLC-12G m2fc:R0402 D101 D102 D201 D202 D203 D204 D205 D206 D406 D407 D502 D504 D506 D601 D602 D603 D604 D605 D606","BOURNS - CGA0402MLC-12G - ESD SUPPRESSOR, 0402, 12V, 0.2PF","8,890","0.138","19","2.6220000000000003","http://onecall.farnell.com/_/_/_/dp/2368169"
"1414605","1n m2fc:C0603 C105 C125","KEMET - C0603C102J5GACTU - CAP, MLCC, C0G/NP0, 1NF, 50V, 0603","3,714","0.032","2","0.064","http://onecall.farnell.com/_/_/_/dp/1414605"
"1667759","SWD m2fc:FTSH-105-01-F-D-K P104","SAMTEC - FTSH-105-01-L-DV - HEADER, 1.27MM, SMD, 10WAY","2,038","2.08","1","2.08","http://onecall.farnell.com/_/_/_/dp/1667759"
"2211164","10µ m2fc:C0603 C109 C107 C204 C205 C206 C213 C217 C218 C219 C226 C230 C231 C232 C239 C303 C306 C309 C402 C401 C602 C605 C613 C616 C627 C624","TDK - C1608X5R1A106K080AC - CAP, MLCC, X5R, 10UF, 10V, 0603","325","0.32","25","8.0","http://onecall.farnell.com/_/_/_/dp/2211164"
"BT01732","BAT BOX None U101","BULGIN - BX0027 - BATTERY HOLDER ENCLOSED FOUR X AA","76","6.72","1","6.72","http://onecall.farnell.com/_/_/_/dp/BT01732"
"2067807","AD8495 m2fc:MSOP8 IC601 IC603 IC605","ANALOG DEVICES - AD8495CRMZ - THERMOCOUPLE, W/COMP, 8MSOP","105","6.52","3","19.56","http://onecall.farnell.com/_/_/_/dp/2067807"
"1877590","10k 0.05% m2fc:R0603 R202 R208 R210 R216 R218 R224","VISHAY DRALORIC - TNPU0603 10K 0,05 % T-16 E52 E3 - RESISTOR, HI PREC, 0603, 10K, 0.05%","765","1.33","6","7.98","http://onecall.farnell.com/_/_/_/dp/1877590"
"1759055","15p m2fc:C0603 C123 C121","MULTICOMP - MC0603N150J500CT - CAP, MLCC, C0G/NP0, 15PF, 50V, 0603","47,788","0.008","2","0.016","http://onecall.farnell.com/_/_/_/dp/1759055"
"1759037","100n m2fc:C0603 C113 C112 C110 C111 C122 C103 C108 C114 C115 C116 C102 C209 C210 C211 C212 C222 C223 C224 C225 C235 C236 C237 C238 C301 C302 C304 C305 C310 C308 C307 C403 C404 C407 C405 C406 C408 C501 C502 C503 C601 C604 C612 C615 C623 C626","MULTICOMP - MC0603B104K250CT - CAP, MLCC, X7R, 100NF, 25V, 0603","ERR","0.006","45","0.27","http://onecall.farnell.com/_/_/_/dp/1759037"
"2116838","31.6k m2fc:R0603 R603 R610 R617","TE CONNECTIVITY - RP73PF1J31K6BTDF - RESISTOR, 0603, 0.17W, 31K6, 0.1%, 25PPM","1,020","0.209","3","0.627","http://onecall.farnell.com/_/_/_/dp/2116838"
"1894738","MOSFET_P m2fc:SOT-23-MOSFET Q501 Q503 Q505","NXP - NX2301P - MOSFET, P CH, 20V, 2A, SOT23","17,562","0.094","3","0.28200000000000003","http://onecall.farnell.com/_/_/_/dp/1894738"
"2290329","RED m2fc:LED0603 D401 D408","KINGBRIGHT - KP-1608SURCK - LED, 0603, 230MCD, RED","65,837","0.054","2","0.108","http://onecall.farnell.com/_/_/_/dp/2290329"
"2116811","17.8k m2fc:R0603 R207 R215 R223","TE CONNECTIVITY - RP73PF1J17K8BTDF - RESISTOR, 0603, 0.17W, 17K8, 0.1%, 25PPM","295","0.202","3","0.6060000000000001","http://onecall.farnell.com/_/_/_/dp/2116811"
"2116779","8.87k m2fc:R0603 R602 R609 R616","TE CONNECTIVITY - RP73PF1J8K87BTDF - RESISTOR, 0603, 0.17W, 8K87, 0.1%, 25PPM","40","0.211","3","0.633","http://onecall.farnell.com/_/_/_/dp/2116779"
"1830729","HOUSING None U201 U202 U203 U401 U403","JST (JAPAN SOLDERLESS TERMINALS) - PAP-04V-S - HOUSING, CRIMP, RECEPTACLE, 2MM, 4WAY","38,352","0.10","5","0.5","http://onecall.farnell.com/_/_/_/dp/1830729"
"1833876","10n m2fc:C0603 C311","AVX - 06031C103JAT2A - CAP, MLCC, X7R, 10NF, 100V, 0603","13,110","0.177","1","0.177","http://onecall.farnell.com/_/_/_/dp/1833876"
"2067775","ADP3335 m2fc:MSOP8 IC101 IC103","ANALOG DEVICES - ADP3335ARMZ-3.3 - IC, LDO REGULATOR, 0.5A, 6V, MSOP-8","675","1.07","2","2.14","http://onecall.farnell.com/_/_/_/dp/2067775"
"2320817","2µ2 m2fc:C0603 C106 C104 C101 C119 C120 C124 C126","MULTICOMP - MC0603X225K100CT - CAP, MLCC, X5R, 2.2UF, 10V, 0603","18,425","0.018","7","0.126","http://onecall.farnell.com/_/_/_/dp/2320817"
"1349646","DIODESCH m2fc:SOD323 D501 D503 D505","NXP - 1PS76SB40 - DIODE, SCHOTTKY, SOD323","27,269","0.066","3","0.198","http://onecall.farnell.com/_/_/_/dp/1349646"
"2331989","100 m2fc:R0603 R108 R407 R406 R401 R402 R403 R404 R405 R408 R502 R503 R509 R510 R516 R517","TE CONNECTIVITY - CRGH0603F100R - RESISTOR, POWER, 100R, 0.2W, 1%, 0603","4,837","0.008","15","0.12","http://onecall.farnell.com/_/_/_/dp/2331989"
"1971743","HMC5883L m2fc:HMC5883L IC304","HONEYWELL M&PS - HMC5883L-TR - IC, DIGITAL COMPASS, 3 AXIS, 16 PIN","12,607","4.79","1","4.79","http://onecall.farnell.com/_/_/_/dp/1971743"
"2332016","10k m2fc:R0603 R101 R301 R302 R305 R303 R308 R306 R304 R307 R507 R506 R501 R504 R514 R513 R508 R511 R521 R520 R515 R518","TE CONNECTIVITY - CRGH0603F10K - RESISTOR, POWER, 10K, 0.2W, 1%, 0603","6,723","0.008","21","0.168","http://onecall.farnell.com/_/_/_/dp/2332016"
"1830749","CONN_4 m2fc:S04B-PASK-2 P201 P202 P203 P401 P403","JST (JAPAN SOLDERLESS TERMINALS) - S04B-PASK-2 - HEADER, PA, 4WAY, SIDE, 2MM","ERR","0.36","5","1.7999999999999998","http://onecall.farnell.com/_/_/_/dp/1830749"
"1830747","CONN_2 m2fc:S02B-PASK-2 P102 P103 P101 P402 P501 P502 P503 P601 P602 P603","JST (JAPAN SOLDERLESS TERMINALS) - S02B-PASK-2 - HEADER, PA, 2WAY, SIDE, 2MM","2,567","0.29","10","2.9","http://onecall.farnell.com/_/_/_/dp/1830747"
"1078200","ADuM1201 m2fc:SOIC8 IC402","ANALOG DEVICES - ADUM1201ARZ - DIGITAL ISOLATOR, 2CH, 150NS, SOIC8","999","2.46","1","2.46","http://onecall.farnell.com/_/_/_/dp/1078200"
"2116889","95.3k m2fc:R0603 R605 R612 R619","TE CONNECTIVITY - RP73PF1J95K3BTDF - RESISTOR, 0603, 0.17W, 95K3, 0.1%, 25PPM","555","0.209","3","0.627","http://onecall.farnell.com/_/_/_/dp/2116889"
"2101329","8M m2fc:XTAL50x32 X101","ABRACON - ABM3-8.000MHZ-D2Y-T - CRYSTAL, 8MHZ, 18PF, SMD","8,367","1.16","1","1.16","http://onecall.farnell.com/_/_/_/dp/2101329"
"1837433","AD8541 m2fc:SC-70-5 IC203 IC206 IC209","ANALOG DEVICES - AD8541AKSZ-R2 - IC, OP-AMP, 1MHZ, 0.92V/ us, SC-70-5","723","0.43","3","1.29","http://onecall.farnell.com/_/_/_/dp/1837433"
"1827359","AD8226 m2fc:MSOP8 IC201 IC204 IC207","ANALOG DEVICES - AD8226ARMZ - IC, AMP, INST, R-R, LP, 13MA, 8MSOP","ERR","2.45","3","7.3500000000000005","http://onecall.farnell.com/_/_/_/dp/1827359"
"1830726","HOUSING None U104 U103 U105 U404 U501 U502 U503","JST (JAPAN SOLDERLESS TERMINALS) - PAP-02V-S - HOUSING, CRIMP, RECEPTACLE, 2MM, 2WAY","24,617","0.107","7","0.749","http://onecall.farnell.com/_/_/_/dp/1830726"
"2334075","MICROSD m2fc:MICROSD U106","MOLEX - 503182-1853 - CONNECTOR, MICRO SD, PUSH PUSH, 1.45MM","796","0.694","1","0.694","http://onecall.farnell.com/_/_/_/dp/2334075"
"2321755","1M m2fc:R0603 R607 R614 R621","BOURNS - CR0603-FX-1004ELF - RESISTOR THICK FILM, 1MOHM, 1%, 0603","14,376","0.032","3","0.096","http://onecall.farnell.com/_/_/_/dp/2321755"
"2362662","MS5611-01BA03 m2fc:MS5611-01BA IC303","MEASUREMENT SPECIALTIES - MS561101BA03-50 - SENSOR, BAROMETRIC, 0.01-1.2BAR, QFN-8","169","5.28","1","5.28","http://onecall.farnell.com/_/_/_/dp/2362662"
"2067773","ADuM5201 m2fc:SOIC16 IC401","ANALOG DEVICES - ADUM5201CRWZ - ISOLATOR, W/DC-DC, 16SOIC","ERR","8.80","1","8.8","http://onecall.farnell.com/_/_/_/dp/2067773"
