number,comment,name,stock,price,qty,cost,url
"2141424","2 m2r:R0402 R3","MULTICOMP - MC00625W040212R0 - RESISTOR, 2R, 0.063W, 1%, 0402","8,075","0.022","1","0.022","http://onecall.farnell.com/_/_/_/dp/2141424"
"2063945","8M m2r:HC49S X10","FOX ELECTRONICS - FOXSLF/080-20 - CRYSTAL, 8.0MHZ, 20PF","683","0.32","1","0.32","http://onecall.farnell.com/_/_/_/dp/2063945"
"1608592","SMA m2r:SMA-142-0701-801 P7","EMERSON CONNECTIVITY/JOHNSON - 142-0701-801 - RF COAXIAL, SMA, STRAIGHT JACK, 50OHM","125","4.94","1","4.94","http://onecall.farnell.com/_/_/_/dp/1608592"
"2211068","10µ m2r:C1206 C18","TDK - CGA5L1X7R1E106K160AC - CAP, MLCC, X7R, 10UF, 25V, 1206","953","0.65","1","0.65","http://onecall.farnell.com/_/_/_/dp/2211068"
"2333614","6k8 m2r:R0603 R6","BOURNS - CR0603-FX-6801ELF - RESISTOR THICK FILM, 6.8KOHM, 1%, 0603","1,463","0.018","1","0.018","http://onecall.farnell.com/_/_/_/dp/2333614"
"BT01732","BAT BOX None X1","BULGIN - BX0027 - BATTERY HOLDER ENCLOSED FOUR X AA","75","6.72","1","6.72","http://onecall.farnell.com/_/_/_/dp/BT01732"
"2290330","YELLOW m2r:LED0603 D3 D4 D6 D5","KINGBRIGHT - KP-1608SYCK - LED, 0603, 150MCD, YELLOW","15,179","0.054","4","0.216","http://onecall.farnell.com/_/_/_/dp/2290330"
"2290329","RED m2r:LED0603 D1 D2","KINGBRIGHT - KP-1608SURCK - LED, 0603, 230MCD, RED","65,670","0.054","2","0.108","http://onecall.farnell.com/_/_/_/dp/2290329"
"2331989","100 m2r:R0603 R14 R8 R9 R7 R10 R12 R11 R13 R5 R4","TE CONNECTIVITY - CRGH0603F100R - RESISTOR, POWER, 100R, 0.2W, 1%, 0603","4,737","0.008","10","0.08","http://onecall.farnell.com/_/_/_/dp/2331989"
"2099794","ADL5324 m2r:SOT89-3 IC7","ANALOG DEVICES - ADL5324ARKZ-R7 - RF, AMP, 400MHZ-4GHZ, 0.5W, SOT89","834","7.28","1","7.28","http://onecall.farnell.com/_/_/_/dp/2099794"
